"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x970605084","x1437697717451558915",2021-09-14 08:40:21,"ThielsChristian","Sehr spanned - anschauen lohnt sich! Unser Triell im Juni war übrigens schon das zweite, davor trafen die KandidatInnen auch schon im @WDR-Europaforum aufeinander. https://t.co/oqOQMCWBd3","Twitter for Android",163,,,,TRUE,FALSE,0,0,,,,,"twitter.com/ChrFeld/status…","https://t.co/oqOQMCWBd3","https://twitter.com/ChrFeld/status/1437696393120997377",,,,,,,,,"x273592501","WDR","de","x1437696393120997377","Mehr Debatte über Außen- und Sicherheitspolitik? Dank an @tschlze für Hinweis auf unsere Runde, in der @ABaerbock @OlafScholz @ArminLaschet von @TinaHassel @ischinger 90 min nur dazu befragt wurden.  #mscdebate @MunSecConf https://t.co/oCdP3NDMq7 https://t.co/pA6YO1eADj",2021-09-14 08:35:05,"Twitter for iPad",3,2,"x504643112","ChrFeld","Christian Feld",7555,1320,6223,"Berlin, Deutschland","TV-Korrespondent ARD-Hauptstadtstudio @tagesschau @tagesthemen @ARD_BaB 2017 Nieman Fellow @Harvard University Davor: @ARDBruessel",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ThielsChristian/status/1437697717451558915","Christian Thiels","Berlin (Germany)","Communications Director @MunSecConf | he/him | Former ARD German TV Defence Journalist & German MoD Spokesperson | Purely PRIVATE views | RT&FAV <U+2260> I agree","https://t.co/3Kb2FdUykA",FALSE,14580,2659,640,86161,22887,2012-11-25 19:15:35,TRUE,"https://t.co/3Kb2FdUykA","https://www.linkedin.com/in/christian-thiels-84b5b412b",,"https://pbs.twimg.com/profile_banners/970605084/1624370283","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1366303203449528329/kq6E9vhH_normal.jpg"
"x2897484484","x1437697627747852293",2021-09-14 08:40:00,"milanroettger","#ARD und #ZDF blamieren sich beim #Triell der Kanzlerkandidaten:
https://t.co/r9i7yw78R3","Twitter Web App",88,,,,FALSE,FALSE,0,0,,,"ARD ZDF Triell",,"handelsblatt.com/meinung/kommen…","https://t.co/r9i7yw78R3","https://www.handelsblatt.com/meinung/kommentare/kommentar-ard-und-zdf-blamieren-sich-beim-triell-der-kanzlerkandidaten/27608614.html?share=twitter&ticket=ST-344823-nRDl4brIpTVfPQZeNJyx-ap1",,,,,,,,,,,"de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/milanroettger/status/1437697627747852293","Milan Röttger","Nordrhein-Westfalen","Ich distanziere mich von allem und jedem!
CDU • Junge Union • WerteUnion","https://t.co/bMmMLS8AWv",FALSE,287,196,2,11917,50284,2014-11-29 14:23:55,FALSE,"https://t.co/bMmMLS8AWv","https://patriotischgedacht.home.blog/",,"https://pbs.twimg.com/profile_banners/2897484484/1604602959","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1225503287862013954/huXhp2oQ_normal.jpg"
"x760860969111261184","x1437697435615338500",2021-09-14 08:39:14,"lucasguttenberg","Es gab übrigens auch ein Triell zur ""Europapolitik"", im Mai, um 14 Uhr im WDR. 
Es war eher so mittel. https://t.co/vLfCbtr33g","Twitter Web App",102,,,,TRUE,FALSE,1,0,,,,,"twitter.com/lucasguttenber…","https://t.co/vLfCbtr33g","https://twitter.com/lucasguttenberg/status/1395366365175947266",,,,,,,,,,,"de","x1395366365175947266","Da bekommt der @WDR Baerbock, Laschet und Scholz dazu, eine Stunde über Europapolitik zu diskutieren. Und @EEhni fragt fast nur nach NATO, Nahostkonflikt und deutscher Klimapolitik. Nichts zur Rolle der EU in der Pandemie, zum Green Deal, zur Finanzpolitik. 

Völliger Wahnsinn. https://t.co/lnzwgqKLu5",2021-05-20 13:10:40,"Twitter Web App",110,18,"x760860969111261184","lucasguttenberg","Lucas Guttenberg",10954,1459,4868,"Berlin, Deutschland","Deputy Director @DelorsBerlin. Denktank work on <U+0001F1EA><U+0001F1FA>, <U+0001F1E9><U+0001F1EA><U+0001F1EB><U+0001F1F7>, <U+0001F1E9><U+0001F1EA> in <U+0001F1EA><U+0001F1FA>.",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/lucasguttenberg/status/1437697435615338500","Lucas Guttenberg","Berlin, Deutschland","Deputy Director @DelorsBerlin. Denktank work on <U+0001F1EA><U+0001F1FA>, <U+0001F1E9><U+0001F1EA><U+0001F1EB><U+0001F1F7>, <U+0001F1E9><U+0001F1EA> in <U+0001F1EA><U+0001F1FA>.","https://t.co/ngbxd2t8AD",FALSE,10954,1459,230,4868,4774,2016-08-03 15:32:45,FALSE,"https://t.co/ngbxd2t8AD","https://www.delorscentre.eu/en/people/profile/person/guttenberg/",,"https://pbs.twimg.com/profile_banners/760860969111261184/1504536007",,"http://pbs.twimg.com/profile_images/907170897345249280/ezJf6slx_normal.jpg"
"x57055611","x1437697265590734858",2021-09-14 08:38:33,"McFeel24","TRIELL – peinlich, peinlicher am PEINLICHSTEN! https://t.co/5S89ffjlqu via @YouTube #Corona","Twitter Web App",91,,,,FALSE,FALSE,0,0,,,"Corona",,"youtu.be/LM-s14chy1I","https://t.co/5S89ffjlqu","https://youtu.be/LM-s14chy1I",,,,,,,,,"x10228272","YouTube","de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/McFeel24/status/1437697265590734858","Andy McFeel","","",,FALSE,151,668,6,21482,3456,2009-07-15 16:03:02,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/315474843/Andy_Photo_normal.jpg"
"x3323025531","x1437697235840610304",2021-09-14 08:38:26,"thomas_dudek","Gestern der Daumen von Wissler, heute die klare Ansage von Pflüger. Ausgerechnet die Außenpolitik kann über die Zukunft von 2RG entscheiden. Umso tragischer, dass außenpolitische Themen beim Triell keine Rolle spielten. https://t.co/od2ttIxTFc","Twitter Web App",219,,,,FALSE,FALSE,0,0,,,,,,,,"http://pbs.twimg.com/media/E_O5-YUXIAAWPAl.png","https://t.co/od2ttIxTFc","https://twitter.com/thomas_dudek/status/1437697235840610304/photo/1","photo","http://pbs.twimg.com/media/E_O5-YUXIAAWPAl.png","https://t.co/od2ttIxTFc","https://twitter.com/thomas_dudek/status/1437697235840610304/photo/1",,,,"de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/thomas_dudek/status/1437697235840610304","Thomas Dudek","","Journalist mit dem Schwerpunkt Osteuropa und einem großen Faible für Sport. Texte u.a. für @cicero_online (Foto: https://t.co/QlyPwXG6Wn)",,FALSE,2861,1717,65,23870,32389,2015-06-13 14:08:18,FALSE,,,,"https://pbs.twimg.com/profile_banners/3323025531/1578078800","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1054424464581107712/6TThaEpM_normal.jpg"
"x1385696068491415555","x1437697073168764933",2021-09-14 08:37:48,"bladdi62","@derspiegel Meine Güte, haben wir im Moment keine anderen Probleme. Dieses Triell war reine Zeitverschwendung, Ende!!","Twitter for Android",105,"x1437443556231327746","x2834511","derspiegel",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x2834511","derspiegel","de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/bladdi62/status/1437697073168764933","Bladdi62","","",,FALSE,0,15,0,283,111,2021-04-23 20:44:40,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1386584033094782986/a5ShYMZH_normal.jpg"
"x20699453","x1437696948425969664",2021-09-14 08:37:18,"stanil","@GueldeneRose @MarkusNielbock @sixtus Das war ja Thema im „Triell“ und soweit ich weiß sind Barzahlungen in diesem Kontext demnächst verboten.","Twitter for iPhone",104,"x1437318479212863488","x1026101759134052353","GueldeneRose",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1026101759134052353 x2885524816 x9334352","GueldeneRose MarkusNielbock sixtus","de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/stanil/status/1437696948425969664","Marcus Seidel","Cologne","I'll be damned!",,FALSE,97,170,2,1626,14333,2009-02-12 18:14:20,FALSE,,,,,"http://abs.twimg.com/images/themes/theme3/bg.gif","http://pbs.twimg.com/profile_images/477868572015075328/s8asU_2B_normal.jpeg"
"x1435164346473140224","x1437696748324069379",2021-09-14 08:36:30,"EinfachFinnB","Drei-Tage-Frage:
Welche Politiker/-innen haben, ihrer Meinung nach, den 
#Vierkampf für sich entscheiden können?

Diskutiert haben:
@Janine_Wissler (@dieLinke)
@c_lindner (@fdp)
#AlexanderDobrindt (@CDU)
@Alice_Weidel (@AfD)

#Vierkampf
#Triell
#Schlagabtausch
#btw21
#ARD","Twitter for Android",272,,,,FALSE,FALSE,0,0,,,"Vierkampf AlexanderDobrindt Vierkampf Triell Schlagabtausch btw21 ARD",,,,,,,,,,,,,"x143484553 x44101578 x122104353 x39475170 x20429858 x833398209053605888 x844081278","Janine_Wissler dieLinke c_lindner fdp CDU Alice_Weidel AfD","de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/EinfachFinnB/status/1437696748324069379","EinfachNurFinn","Aufm Boot","Discord:
EinfachNurFinn#2670

WASDer:
@einfachnurfinn",,FALSE,0,21,0,1,25,2021-09-07 08:53:48,FALSE,,,,"https://pbs.twimg.com/profile_banners/1435164346473140224/1631005491",,"http://pbs.twimg.com/profile_images/1435164488567861251/sshx6U4n_normal.jpg"
"x182239981","x1437696521777070082",2021-09-14 08:35:36,"LCHartmann","@C_A_Mayer Wir werden es ja wahrscheinlich sehen können und sprechen uns dann wieder. Scholz fährt aktuell inhaltlich fast GroKo Kurs, gerade im letzten Triell, mal schauen.","Twitter for Android",162,"x1437695185388032001","x2841112810","C_A_Mayer",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x2841112810","C_A_Mayer","de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/LCHartmann/status/1437696521777070082","Lutz Hartmann","Frankfurt/Germany","<U+0001F1EA><U+0001F1FA>Lawyer, Farmer; Lisbon, Frankfurt, Addis Ababa: M&A, #Entrepreneur, #Africa, #Germany, #France #Agriculture #ImpactInvestment #DigitalNomadLawyer #LegalTech","https://t.co/pAAjI1eZGc",FALSE,3086,2690,66,29836,33101,2010-08-24 04:24:03,FALSE,"https://t.co/pAAjI1eZGc","http://www.belmontlegal.de",,"https://pbs.twimg.com/profile_banners/182239981/1599325517","http://abs.twimg.com/images/themes/theme6/bg.gif","http://pbs.twimg.com/profile_images/1406743446644273152/77P4aYJ1_normal.jpg"
"x1332668811976323074","x1437696381758492675",2021-09-14 08:35:03,"WirtPol","Söder legt im Streit mit SPD nach – Politologe: Wahlausgang offen: Nach dem Triell am Sonntag lieferten sich Vertreter der kleinen Parteien am Montagabend einen Schlagabtausch. Ex-SPD-Chef Gabriel rechnet unterdessen mit einer Ampelkoalition. Doch… https://t.co/9VT7CbTGsn DWN <U+0001F4B2> https://t.co/ajSNEXXRsK","dlvr.it",278,,,,FALSE,FALSE,0,0,,,,,"deutsche-wirtschafts-nachrichten.de/514543/Soeder-…","https://t.co/9VT7CbTGsn","https://deutsche-wirtschafts-nachrichten.de/514543/Soeder-legt-im-Streit-mit-SPD-nach-Politologe-Wahlausgang-offen","http://pbs.twimg.com/media/E_O5PY9VQAEM8u5.jpg","https://t.co/ajSNEXXRsK","https://twitter.com/WirtPol/status/1437696381758492675/photo/1","photo","http://pbs.twimg.com/media/E_O5PY9VQAEM8u5.jpg","https://t.co/ajSNEXXRsK","https://twitter.com/WirtPol/status/1437696381758492675/photo/1",,,,"de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/WirtPol/status/1437696381758492675","Wirtschaft","","",,FALSE,338,234,5,26805,5460,2020-11-28 12:53:15,FALSE,,,,"https://pbs.twimg.com/profile_banners/1332668811976323074/1610562192",,"http://pbs.twimg.com/profile_images/1351477230183084040/UjKeDumZ_normal.jpg"
